#{"t_start": 1746155271.0353222, "env_id": "None"}
r,l,t
10.128193,120,0.071215
24.42817,120,0.094285
4.672562,120,0.113295
18.091483,120,0.130909
14.028996,120,0.14781
10.419813,120,0.16457
14.211524,120,0.181217
16.739069,120,0.19741
9.622199,120,0.214239
9.675517,120,0.231019
24.765072,120,0.247121
24.772876,120,0.263222
22.901906,120,0.279545
16.323643,120,0.296168
5.366667,120,0.312694
14.778558,120,0.329195
15.951556,120,0.3515
3.520685,120,0.370813
6.792676,120,0.388621
22.147503,120,0.406633
21.009235,120,0.422373
21.853229,120,0.438749
16.699445,120,0.454763
14.495407,120,0.470945
18.18576,120,0.48692
14.443494,120,0.502593
16.820045,120,0.518273
18.956405,120,0.533798
6.983071,120,0.549343
25.074619,120,0.564874
14.739863,120,0.580401
18.016347,120,0.596493
20.544723,120,0.612308
7.871837,120,0.6279
13.799656,120,0.643782
21.326057,120,0.659777
16.369357,120,0.675976
23.938369,120,0.692392
17.43765,120,0.708514
17.523461,120,0.724617
16.37121,120,0.74063
10.375236,120,0.824758
24.685981,120,0.840861
23.918276,120,0.856929
5.003158,120,0.872967
14.309868,120,0.88993
28.11528,120,0.906642
15.245201,120,0.922696
26.768908,120,0.93871
5.760384,120,0.954685
9.900511,120,0.971165
13.541612,120,0.987803
7.854612,120,1.004097
17.722441,120,1.020034
5.539827,120,1.035664
7.595432,120,1.05175
21.294719,120,1.067711
11.11278,120,1.083906
15.252077,120,1.10011
17.381612,120,1.115966
12.656737,120,1.131396
10.535443,120,1.146903
22.132383,120,1.162529
11.604806,120,1.178053
7.084,120,1.193661
17.668018,120,1.209484
22.199141,120,1.225372
17.433981,120,1.241476
15.665832,120,1.257585
21.753506,120,1.27362
11.104443,120,1.289593
20.088736,120,1.305287
9.660315,120,1.321858
18.447795,120,1.338133
23.065152,120,1.3545
21.10599,120,1.372457
17.069211,120,1.389987
4.080442,120,1.406306
20.888311,120,1.42258
18.209103,120,1.438972
5.385142,120,1.455462
6.585266,120,1.472298
9.097798,120,1.488898
8.445085,120,1.532839
17.798299,120,1.549783
13.349612,120,1.566853
15.071748,120,1.583228
21.006045,120,1.599946
17.752983,120,1.616787
12.753829,120,1.633705
15.379629,120,1.650397
12.877128,120,1.666555
10.778952,120,1.682627
12.564161,120,1.698609
17.121534,120,1.714581
19.429827,120,1.73019
4.881057,120,1.746038
23.538179,120,1.761625
22.451384,120,1.777312
17.931095,120,1.792855
9.320603,120,1.808589
18.954209,120,1.826594
6.441087,120,1.842614
18.21991,120,1.858286
8.460815,120,1.873902
19.814218,120,1.891039
19.91343,120,1.908286
24.79966,120,1.927423
22.656617,120,1.943879
12.660739,120,1.961229
22.294994,120,1.977503
19.812611,120,1.993599
9.563496,120,2.009636
23.918059,120,2.028018
6.959983,120,2.044252
27.345336,120,2.060868
21.383048,120,2.077937
13.695926,120,2.094537
18.323391,120,2.110915
23.611965,120,2.127469
19.168205,120,2.14381
24.646993,120,2.160148
18.964411,120,2.176526
14.211982,120,2.192783
23.391828,120,2.209832
20.974706,120,2.251437
25.666686,120,2.269007
9.707427,120,2.286036
18.000554,120,2.303436
24.516309,120,2.319912
13.12782,120,2.339738
14.185773,120,2.361484
18.660606,120,2.378915
6.253266,120,2.396059
18.696173,120,2.412342
28.10617,120,2.429762
19.533041,120,2.446408
8.341181,120,2.462737
13.283229,120,2.479176
16.552173,120,2.495882
7.532939,120,2.511744
16.940797,120,2.527939
30.095999,120,2.543795
6.829864,120,2.560167
25.014751,120,2.577174
12.746117,120,2.593568
19.366526,120,2.609294
8.064339,120,2.625539
13.439435,120,2.642257
7.843828,120,2.658533
17.117196,120,2.675035
6.260568,120,2.691335
14.53261,120,2.707852
21.979589,120,2.724504
23.687332,120,2.741024
20.29735,120,2.757113
14.28446,120,2.773117
5.390522,120,2.788982
6.249332,120,2.805565
15.841359,120,2.82199
16.93402,120,2.83882
19.296628,120,2.855228
22.048137,120,2.87157
4.860277,120,2.887956
22.088639,120,2.904668
14.307966,120,2.920738
11.092697,120,2.961249
16.380858,120,2.978301
16.967702,120,2.99512
7.422605,120,3.012448
5.968449,120,3.029871
14.3992,120,3.047296
23.206394,120,3.07935
20.738662,120,3.097558
21.891346,120,3.113822
18.046337,120,3.129958
16.433156,120,3.146407
21.8003,120,3.162399
16.186207,120,3.180037
15.407421,120,3.197162
29.839627,120,3.214107
21.381356,120,3.231622
18.594191,120,3.24881
15.318465,120,3.265969
13.757147,120,3.282302
9.413864,120,3.298218
20.380524,120,3.313823
6.57827,120,3.329415
20.583454,120,3.345262
13.984114,120,3.361024
24.217899,120,3.376829
20.624863,120,3.392406
17.797957,120,3.409277
16.322591,120,3.425706
19.345444,120,3.441887
25.604557,120,3.458253
23.102592,120,3.475969
16.861182,120,3.493274
19.0507,120,3.509785
7.385703,120,3.52594
12.888854,120,3.541789
13.14205,120,3.557959
19.679343,120,3.57374
24.896668,120,3.590324
10.961737,120,3.606946
20.51803,120,3.623874
10.386021,120,3.640479
11.690212,120,3.656464
20.185857,120,3.699959
18.517873,120,3.71751
16.563451,120,3.73446
14.875009,120,3.751305
13.010229,120,3.768084
18.856741,120,3.784894
16.95752,120,3.801757
13.625417,120,3.818243
28.231717,120,3.835409
9.639701,120,3.852549
10.300524,120,3.869847
17.465908,120,3.886867
25.007002,120,3.902925
5.228187,120,3.919865
10.71417,120,3.935998
14.482547,120,3.951846
11.984828,120,3.967531
18.754316,120,3.983182
5.919046,120,3.998741
17.919998,120,4.014682
9.500478,120,4.030215
11.601424,120,4.046041
21.892494,120,4.062777
13.56679,120,4.079698
16.031523,120,4.098269
22.923156,120,4.114562
17.501822,120,4.130839
15.582841,120,4.14718
10.00495,120,4.163392
20.916652,120,4.179834
20.248663,120,4.195964
13.101956,120,4.211614
21.337224,120,4.227952
27.522193,120,4.244211
15.929689,120,4.260402
24.550585,120,4.276253
14.052451,120,4.291865
16.887969,120,4.307732
7.852773,120,4.323717
7.622708,120,4.339369
20.173732,120,4.355442
12.946385,120,4.371369
21.390361,120,4.412485
13.618897,120,4.4309
11.683782,120,4.447959
29.254781,120,4.465105
24.547529,120,4.48218
10.557875,120,4.499976
13.21064,120,4.518419
12.129044,120,4.538356
14.341925,120,4.55536
12.247401,120,4.572257
25.376718,120,4.589153
18.281575,120,4.605876
19.081205,120,4.62227
10.476848,120,4.638052
26.035026,120,4.653925
22.393128,120,4.670177
19.441961,120,4.686195
9.099685,120,4.702082
21.892025,120,4.717979
17.642249,120,4.733769
27.559575,120,4.749971
15.971294,120,4.765817
17.84633,120,4.781293
13.972294,120,4.796692
20.741806,120,4.81233
15.886168,120,4.827782
18.358697,120,4.843637
22.133659,120,4.85894
23.603504,120,4.874298
22.040371,120,4.889607
23.421706,120,4.905949
10.358504,120,4.922188
18.318432,120,4.938217
11.424877,120,4.954028
28.735,120,4.96989
7.206222,120,4.98567
19.794207,120,5.001149
11.950712,120,5.016645
10.275912,120,5.032671
9.622817,120,5.048702
22.710874,120,5.064848
24.496533,120,5.10362
16.114053,120,5.11974
17.511484,120,5.135711
12.278719,120,5.151717
13.199496,120,5.167699
10.188581,120,5.18377
8.469171,120,5.19965
10.439157,120,5.215674
21.974025,120,5.231646
14.815594,120,5.248006
17.983684,120,5.263957
14.837845,120,5.279962
13.96099,120,5.296638
11.158217,120,5.312983
24.470027,120,5.330797
18.82826,120,5.347173
17.363085,120,5.363625
10.121557,120,5.379618
28.512177,120,5.395638
25.479229,120,5.4121
15.559104,120,5.428447
15.76536,120,5.444889
29.524464,120,5.461336
12.639083,120,5.477305
27.872747,120,5.493365
11.184718,120,5.509244
18.8435,120,5.525109
12.240437,120,5.54091
16.76637,120,5.557536
27.825858,120,5.573659
20.212666,120,5.589729
21.914274,120,5.60594
12.257629,120,5.622027
21.624847,120,5.638152
17.252321,120,5.654096
12.67822,120,5.670036
8.295381,120,5.687092
22.800277,120,5.70378
12.833423,120,5.719553
25.447783,120,5.735425
16.78936,120,5.751037
26.209464,120,5.766767
13.653826,120,5.805914
20.725006,120,5.821956
22.719447,120,5.837939
19.503029,120,5.853869
21.597642,120,5.869786
18.504953,120,5.886611
25.026397,120,5.903368
25.615449,120,5.920086
25.969216,120,5.936413
24.186392,120,5.952488
21.353452,120,5.969325
22.143148,120,5.985849
17.111253,120,6.002117
10.517976,120,6.017541
12.963745,120,6.032924
7.87209,120,6.048527
10.246558,120,6.064006
22.093862,120,6.079332
20.014635,120,6.094789
24.510293,120,6.110152
23.369519,120,6.126399
22.990506,120,6.142933
23.250899,120,6.158958
24.246719,120,6.174705
28.177948,120,6.190089
26.01478,120,6.205503
19.921049,120,6.220856
20.529337,120,6.237144
24.084901,120,6.252872
16.163624,120,6.268864
23.09887,120,6.284531
19.424095,120,6.300216
12.307319,120,6.315709
18.090258,120,6.331863
18.087711,120,6.348132
16.828154,120,6.364362
11.303322,120,6.380266
17.100899,120,6.395736
9.739951,120,6.411154
27.006758,120,6.427286
22.748035,120,6.443382
26.141292,120,6.459266
8.855715,120,6.499736
30.26147,120,6.515856
14.750967,120,6.531947
13.094075,120,6.548004
18.424718,120,6.564041
15.614426,120,6.580093
7.250875,120,6.596144
13.88324,120,6.612565
15.643875,120,6.629789
9.150385,120,6.647317
29.437323,120,6.664621
22.058667,120,6.681507
7.719349,120,6.698116
17.280293,120,6.714122
12.379304,120,6.730138
24.024907,120,6.746106
10.045406,120,6.761771
24.33526,120,6.777764
22.119349,120,6.794118
18.597374,120,6.810229
21.274634,120,6.826361
10.663583,120,6.842375
8.996329,120,6.857925
20.982874,120,6.873464
16.862732,120,6.888849
16.666055,120,6.904277
22.349606,120,6.919666
8.86532,120,6.935278
18.03381,120,6.950858
22.426414,120,6.966442
17.191311,120,6.982122
14.877796,120,6.99751
23.691454,120,7.012907
8.871566,120,7.028668
8.00125,120,7.04469
10.950616,120,7.060665
22.710633,120,7.076527
15.063219,120,7.091955
21.548441,120,7.108113
21.393363,120,7.124135
24.982764,120,7.140088
7.493942,120,7.180581
27.534269,120,7.197194
22.461905,120,7.21376
15.027529,120,7.230293
14.52921,120,7.246821
32.222414,120,7.263509
14.624778,120,7.280187
17.655486,120,7.296793
27.28325,120,7.313449
10.339092,120,7.329859
18.170055,120,7.345781
23.615228,120,7.361748
33.09118,120,7.378568
11.683547,120,7.394287
20.408608,120,7.409659
13.67199,120,7.425027
19.74399,120,7.440296
24.844477,120,7.455742
23.692695,120,7.471018
17.783827,120,7.486316
7.413291,120,7.502119
23.957219,120,7.517778
22.105965,120,7.533375
21.440439,120,7.548933
15.405971,120,7.565062
9.794603,120,7.580757
8.965206,120,7.596425
22.629677,120,7.612235
22.35531,120,7.627734
9.473807,120,7.643169
12.527495,120,7.658718
11.830331,120,7.674074
15.462289,120,7.689942
16.006488,120,7.706055
16.580364,120,7.722139
22.099264,120,7.738072
26.775272,120,7.754069
8.130927,120,7.769923
25.554025,120,7.785395
19.879334,120,7.801419
14.569891,120,7.817007
20.278915,120,7.832722
28.076508,120,7.871918
14.843208,120,7.88854
15.317661,120,7.905108
22.141764,120,7.921625
9.680632,120,7.938118
15.446772,120,7.954605
22.775526,120,7.971071
19.940331,120,7.987502
29.214761,120,8.004644
17.28123,120,8.021759
18.062231,120,8.038688
18.977418,120,8.055774
11.423539,120,8.073009
29.384534,120,8.089393
17.125907,120,8.106054
13.03572,120,8.123363
22.016347,120,8.139948
21.82127,120,8.15665
21.215876,120,8.173671
