#{"t_start": 1746153973.3903182, "env_id": "None"}
r,l,t
11.729738,120,0.011529
24.758441,120,0.016225
3.887647,120,0.020845
19.433682,120,0.025444
17.255899,120,0.034762
10.002563,120,0.039491
14.155339,120,0.044113
15.072634,120,0.049138
8.160989,120,0.126847
12.394148,120,0.14666
16.27111,120,0.16526
25.429387,120,0.184305
17.151597,120,0.212992
9.644459,120,0.23187
7.4757,120,0.25379
11.759301,120,0.274642
19.510987,120,0.300235
11.813113,120,0.319204
11.170209,120,0.34125
27.445977,120,0.36043
24.129585,120,0.380337
19.767831,120,0.398581
25.075495,120,0.416529
21.700746,120,0.43495
18.014807,120,0.454209
22.936612,120,0.472879
15.953439,120,0.491004
16.222927,120,0.50871
5.820835,120,0.527565
21.054315,120,0.54867
14.899774,120,0.568012
26.313107,120,0.586858
16.563129,120,0.613267
7.306048,120,0.63348
16.987141,120,0.652261
24.858827,120,0.671165
30.506291,120,0.708388
21.97259,120,0.749339
20.121887,120,0.771344
24.900739,120,0.795844
13.36274,120,0.818102
13.657347,120,0.848077
21.430733,120,0.86831
24.660939,120,0.887736
7.809892,120,0.909175
18.854064,120,0.929075
27.088074,120,0.948875
9.220621,120,0.975854
32.147417,120,0.999056
9.435544,120,1.01781
11.397294,120,1.036178
23.866699,120,1.054841
9.456317,120,1.081833
27.583595,120,1.111033
10.647179,120,1.13813
12.910647,120,1.162064
15.143062,120,1.199496
10.509578,120,1.224824
19.031892,120,1.25109
22.859198,120,1.273795
20.284956,120,1.304472
8.021602,120,1.329285
27.82209,120,1.351572
15.49029,120,1.37157
12.874029,120,1.404321
21.374396,120,1.427746
25.488006,120,1.448092
18.85818,120,1.469556
19.604159,120,1.495277
18.934833,120,1.514398
11.684152,120,1.535778
21.914541,120,1.55478
11.203802,120,1.578884
21.093194,120,1.59899
27.246633,120,1.624986
24.254841,120,1.650932
23.724721,120,1.683086
9.92566,120,1.709456
21.540515,120,1.729925
23.501589,120,1.749764
13.518188,120,1.771046
9.021636,120,1.832117
8.933029,120,1.85605
12.733181,120,1.88138
22.856034,120,1.9082
14.172335,120,1.930645
18.005386,120,1.950289
23.798442,120,1.974898
24.384638,120,1.995583
20.12845,120,2.015018
15.488336,120,2.034582
11.200096,120,2.056158
19.326131,120,2.079356
17.623329,120,2.099455
22.34656,120,2.126037
28.920228,120,2.148602
15.46658,120,2.174298
30.325293,120,2.196512
29.802079,120,2.217726
14.00875,120,2.243678
10.906398,120,2.265319
33.639237,120,2.289393
17.904523,120,2.311171
25.182331,120,2.332567
14.51233,120,2.353892
24.337862,120,2.374356
27.18134,120,2.394468
33.024822,120,2.413989
28.578298,120,2.43524
18.114598,120,2.454589
36.467055,120,2.474909
33.631079,120,2.495687
15.775073,120,2.525604
24.09685,120,2.546811
15.560386,120,2.567232
34.642391,120,2.586637
29.155013,120,2.608985
16.860937,120,2.629347
29.819524,120,2.648999
24.794182,120,2.669196
20.293778,120,2.705382
28.646001,120,2.731591
21.842741,120,2.756673
24.240036,120,2.775661
21.316251,120,2.802676
28.527801,120,2.821659
27.330778,120,2.841216
13.157612,120,2.861079
33.938909,120,2.881955
29.546694,120,2.902326
12.270478,120,2.921764
15.864848,120,2.941436
32.677723,120,2.962505
14.130844,120,2.982846
24.243335,120,3.002936
37.57755,120,3.022765
21.75001,120,3.043491
11.522228,120,3.063614
18.570716,120,3.084331
25.905959,120,3.104567
16.070724,120,3.126646
22.70036,120,3.146924
39.441681,120,3.166913
18.727736,120,3.186575
24.660471,120,3.207175
20.673899,120,3.227617
36.60334,120,3.248213
15.975259,120,3.268104
18.573517,120,3.289408
17.769572,120,3.310775
24.701042,120,3.331714
17.108753,120,3.352554
14.487184,120,3.37478
27.795957,120,3.395443
38.300146,120,3.416718
27.385202,120,3.442768
22.348503,120,3.465339
17.272031,120,3.485595
13.507158,120,3.511708
28.248147,120,3.542486
30.234857,120,3.569389
23.364691,120,3.590198
30.637795,120,3.610461
15.952214,120,3.631942
23.774884,120,3.653977
20.386349,120,3.676208
13.474939,120,3.714957
27.734349,120,3.737622
19.382992,120,3.758597
12.115757,120,3.780227
11.927026,120,3.822621
32.423053,120,3.843524
32.690827,120,3.8648
39.279497,120,3.885792
27.586712,120,3.906378
25.37834,120,3.927392
26.4173,120,3.948656
41.221339,120,3.968748
32.936175,120,3.988542
24.150478,120,4.010096
39.716334,120,4.032839
17.73045,120,4.054783
22.497273,120,4.075109
23.221229,120,4.096217
23.019349,120,4.117771
13.124196,120,4.147474
38.688418,120,4.16802
16.478694,120,4.200126
40.646715,120,4.246561
20.674598,120,4.268428
25.70164,120,4.288582
31.305191,120,4.308818
32.303516,120,4.330607
17.585352,120,4.351428
27.276457,120,4.372082
38.720813,120,4.393706
31.449691,120,4.415047
26.112996,120,4.435856
27.245339,120,4.456581
26.105271,120,4.476964
23.220563,120,4.499567
22.48637,120,4.520711
31.508816,120,4.541661
30.922439,120,4.562366
14.572942,120,4.584014
40.163678,120,4.605576
19.416948,120,4.627854
18.396003,120,4.648152
33.527836,120,4.669878
30.0627,120,4.700726
23.919164,120,4.727304
30.619115,120,4.752031
22.939948,120,4.77479
34.201509,120,4.800261
32.665752,120,4.822823
31.455872,120,4.8456
32.492485,120,4.873395
17.559357,120,4.899321
17.81812,120,4.924224
33.733086,120,4.946112
49.635083,120,4.97703
11.672923,120,4.998555
30.586292,120,5.01949
24.710181,120,5.042011
31.991707,120,5.064922
43.683625,120,5.088143
19.926778,120,5.111903
33.315234,120,5.135443
20.99427,120,5.160787
23.279099,120,5.181969
38.088763,120,5.203199
22.737017,120,5.23032
42.280576,120,5.258139
35.184098,120,5.281076
33.299006,120,5.303575
32.733392,120,5.331038
22.82733,120,5.372789
31.372385,120,5.410051
45.788448,120,5.449356
25.47121,120,5.489943
42.793234,120,5.538667
41.638988,120,5.587637
32.49044,120,5.625004
34.751865,120,5.660474
