#{"t_start": 1746154557.2339141, "env_id": "None"}
r,l,t
11.93187,120,0.384195
15.213612,120,0.424464
7.280246,120,0.444019
11.812953,120,0.46617
14.99755,120,0.485729
10.328706,120,0.504638
11.882988,120,0.524725
21.366117,120,0.543477
14.068551,120,0.560748
14.480294,120,0.579004
16.613896,120,0.596075
24.185137,120,0.61424
15.903616,120,0.630528
10.906694,120,0.646447
7.561082,120,0.663024
18.114679,120,0.680157
20.82742,120,0.696644
10.976327,120,1.150139
14.142465,120,1.170513
27.171512,120,1.188577
30.804606,120,1.20745
18.687234,120,1.226199
23.409548,120,1.245482
21.230349,120,1.266036
21.559255,120,1.288711
20.10019,120,1.307037
24.556566,120,1.325921
24.730349,120,1.345654
10.822092,120,1.363573
28.645038,120,1.379726
19.179534,120,1.396112
30.26274,120,1.41274
23.364523,120,1.429703
13.225396,120,1.446572
17.050193,120,1.738555
28.103354,120,1.757638
31.464024,120,1.775973
22.350041,120,1.794318
19.53503,120,1.812903
22.940522,120,1.831819
19.462886,120,1.850954
21.246977,120,1.869782
25.442835,120,1.888514
35.23937,120,1.907276
16.224535,120,1.925778
21.253483,120,1.943898
34.315144,120,1.961609
14.797497,120,1.978983
22.380681,120,1.995217
17.233039,120,2.011093
12.467104,120,2.026747
28.202937,120,2.313267
25.418518,120,2.331213
34.94026,120,2.348929
15.28445,120,2.366592
29.986986,120,2.384074
28.285448,120,2.401781
15.556203,120,2.419974
29.586975,120,2.438772
19.474868,120,2.457365
30.02936,120,2.475476
18.955969,120,2.493078
36.222834,120,2.510956
29.099764,120,2.527951
18.497707,120,2.543687
30.687058,120,2.560322
38.099968,120,2.577335
42.692269,120,2.593588
37.891236,120,2.900335
40.916813,120,2.921358
21.876768,120,2.939941
39.301896,120,2.959553
22.621944,120,2.97768
34.184265,120,2.99624
35.317822,120,3.015429
31.122983,120,3.033706
39.836171,120,3.052982
18.112676,120,3.071251
45.17296,120,3.089652
39.416071,120,3.107826
22.301622,120,3.12513
19.709472,120,3.142847
17.549337,120,3.160195
16.452141,120,3.176975
31.518311,120,3.193547
28.881134,120,3.535441
37.28295,120,3.553611
42.856442,120,3.572081
58.503573,120,3.593034
33.402523,120,3.612547
34.521641,120,3.629923
24.342903,120,3.647447
30.302601,120,3.66673
23.974116,120,3.684938
38.418354,120,3.713287
42.258646,120,3.733807
27.806236,120,3.75422
43.536862,120,3.771613
35.978269,120,3.79016
40.519014,120,3.807495
24.976781,120,3.826892
44.717347,120,3.843753
37.324179,120,4.166008
63.981045,120,4.184577
29.916608,120,4.203686
41.257612,120,4.222446
43.572395,120,4.241597
49.250609,120,4.259307
37.746925,120,4.278198
33.289644,120,4.296663
45.068833,120,4.314363
44.612983,120,4.333173
35.258797,120,4.351824
71.038151,120,4.369962
28.54072,120,4.387567
52.838203,120,4.4053
46.812131,120,4.422741
38.011015,120,4.44134
46.369233,120,4.458309
